file,mse,TP,FP,FN,TN,parameters,threshold_parameters,
TravelTime_387.csv,105192.526347,0,3,3,2248,n/a,n/a,
TravelTime_451.csv,25194.291816,0,0,1,1945,n/a,n/a,
Twitter_volume_AAPL.csv,1788016.446415,4,5229,0,9085,n/a,n/a,
Twitter_volume_AMZN.csv,1432.811167,2,0,2,14251,n/a,n/a,
Twitter_volume_CRM.csv,24.981308,3,428,0,13881,n/a,n/a,
Twitter_volume_CVS.csv,3.240683,3,321,0,14006,n/a,n/a,
Twitter_volume_FB.csv,536.63873,1,0,1,14251,n/a,n/a,
Twitter_volume_GOOG.csv,359.328024,2,0,1,14410,n/a,n/a,
Twitter_volume_IBM.csv,67.485276,2,7,0,14296,n/a,n/a,
Twitter_volume_KO.csv,1369.389714,1,0,2,14264,n/a,n/a,
Twitter_volume_PFE.csv,5.246673,0,0,4,14270,n/a,n/a,
Twitter_volume_UPS.csv,758.066626,5,2866,0,11415,n/a,n/a,
ambient_temperature_system_failure.csv,385.635614,0,0,2,6541,n/a,n/a,
art_daily_flatmiddle.csv,2173.699098,0,0,1,3629,n/a,n/a,
art_daily_jumpsdown.csv,2608.915512,0,0,1,3629,n/a,n/a,
art_daily_jumpsup.csv,1956.824754,0,0,1,3629,n/a,n/a,
art_daily_no_noise.csv,177738.581617,0,1054,0,2978,n/a,n/a,
art_daily_nojump.csv,3461.493635,0,0,1,3629,n/a,n/a,
art_daily_perfect_square_wave.csv,105004.822523,0,585,0,3447,n/a,n/a,
art_daily_small_noise.csv,109979.94714,0,865,0,3167,n/a,n/a,
art_flatline.csv,185735.896766,0,0,0,4032,n/a,n/a,
art_increase_spike_density.csv,22.144806,0,0,1,3629,n/a,n/a,
art_load_balancer_spikes.csv,0.342025,0,0,1,3629,n/a,n/a,
art_noisy.csv,15512.294089,0,0,0,4032,n/a,n/a,
cpu_utilization_asg_misconfiguration.csv,967.141103,0,1113,0,15438,n/a,n/a,
ec2_cpu_utilization_24ae8d.csv,0.054801,0,0,2,3630,n/a,n/a,
ec2_cpu_utilization_53ea38.csv,0.116211,0,0,2,3630,n/a,n/a,
ec2_cpu_utilization_5f5533.csv,27.90291,0,0,2,3630,n/a,n/a,
ec2_cpu_utilization_77c1ca.csv,641.767539,0,0,1,3629,n/a,n/a,
ec2_cpu_utilization_825cc2.csv,329.252384,1,243,0,3446,n/a,n/a,
ec2_cpu_utilization_ac20cd.csv,230.007123,1,161,0,3468,n/a,n/a,
ec2_cpu_utilization_c6585a.csv,0.012576,0,195,0,3837,n/a,n/a,
ec2_cpu_utilization_fe7f93.csv,241.981005,2,158,1,3469,n/a,n/a,
ec2_disk_write_bytes_1ef3de.csv,2.096522492182136e+16,1,3928,0,329,n/a,n/a,
ec2_disk_write_bytes_c0d644.csv,8772445704516266.0,0,0,3,3627,n/a,n/a,
ec2_network_in_257a54.csv,103877653522.0185,1,0,0,3629,n/a,n/a,
ec2_network_in_5abac7.csv,14402193795804.953,2,3069,0,1187,n/a,n/a,
ec2_request_latency_system_failure.csv,468.205106,0,0,2,3686,n/a,n/a,
elb_request_count_8c0756.csv,682467.461033,1,166,1,3464,n/a,n/a,
exchange-2_cpc_results.csv,0.505457,0,0,1,1461,n/a,n/a,
exchange-2_cpm_results.csv,0.035899,0,0,2,1462,n/a,n/a,
exchange-3_cpc_results.csv,0.006315,0,0,3,1385,n/a,n/a,
exchange-3_cpm_results.csv,0.276428,0,0,1,1385,n/a,n/a,
exchange-4_cpc_results.csv,0.323448,2,399,1,1079,n/a,n/a,
exchange-4_cpm_results.csv,22.476865,3,419,1,1060,n/a,n/a,
grok_asg_anomaly.csv,14.502897,1,0,2,4156,n/a,n/a,
iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,36212564293202.12,2,12,0,1105,n/a,n/a,
machine_temperature_system_failure.csv,1259.571001,0,0,4,20427,n/a,n/a,
nyc_taxi.csv,54575999.656068,0,0,5,9285,n/a,n/a,
occupancy_6005.csv,21.360476,1,2,0,2139,n/a,n/a,
occupancy_t4013.csv,75.62092,0,0,2,2250,n/a,n/a,
rds_cpu_utilization_cc0c53.csv,9.694729,2,216,0,3414,n/a,n/a,
rds_cpu_utilization_e47b3b.csv,92.574664,1,164,1,3466,n/a,n/a,
rogue_agent_key_hold.csv,0.004799,0,0,2,1692,n/a,n/a,
rogue_agent_key_updown.csv,90.422491,1,217,1,4568,n/a,n/a,
speed_6005.csv,3424.127696,0,0,0,2261,n/a,n/a,
speed_7578.csv,158803.542273,0,0,4,1011,n/a,n/a,
speed_t4013.csv,511.930056,0,0,2,2245,n/a,n/a,
