file,mse,TP,FP,FN,TN,parameters,threshold_parameters,no_of_anomalies,first_label,length,first_label_ratio,
art_daily_no_noise.csv,3545.673591,0,0,0,4032,lstmWeight=0.6;cnnWeight=0.4;lstmCells=10;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=5;CNNDL3units=1;epochs=10;sequance_length=60;training_ratio=0.1125,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0421905560212;,0,4032,4032,1.0,
art_daily_perfect_square_wave.csv,3460.760664,0,0,0,4032,lstmWeight=0.6;cnnWeight=0.4;lstmCells=10;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=5;CNNDL3units=1;epochs=10;sequance_length=60;training_ratio=0.1125,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0421905560212;,0,4032,4032,1.0,
art_daily_small_noise.csv,3726.982213,0,0,0,4032,lstmWeight=0.6;cnnWeight=0.4;lstmCells=10;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=5;CNNDL3units=1;epochs=10;sequance_length=60;training_ratio=0.1125,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0421905560212;,0,4032,4032,1.0,
art_flatline.csv,2.325865,0,0,0,4032,lstmWeight=0.6;cnnWeight=0.4;lstmCells=10;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=5;CNNDL3units=1;epochs=10;sequance_length=60;training_ratio=0.1125,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0421905560212;,0,4032,4032,1.0,
art_noisy.csv,16.88208,0,0,0,4032,lstmWeight=0.6;cnnWeight=0.4;lstmCells=10;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=5;CNNDL3units=1;epochs=10;sequance_length=60;training_ratio=0.1125,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0421905560212;,0,4032,4032,1.0,
art_daily_flatmiddle.csv,2250.406282,0,0,1,3629,lstmWeight=0.03;cnnWeight=0.05;lstmCells=11;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=5;CNNDL3units=1;epochs=10;sequance_length=20;training_ratio=0.1125,comparision_window_size=100;threshold_max_multipler=2;training_ratio=0.0421905560212;,1,2680,4032,0.665,
art_daily_jumpsdown.csv,3499.581072,0,0,1,3629,lstmWeight=0.1;cnnWeight=1.0;lstmCells=15;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=10;CNNDL2units=5;CNNDL3units=1;epochs=10;sequance_length=30;training_ratio=0.1125,comparision_window_size=100;threshold_max_multipler=2;training_ratio=0.0421905560212;,1,2788,4032,0.691,
art_daily_jumpsup.csv,1046.924825,1,0,0,3629,lstmWeight=0.4;cnnWeight=0.2;lstmCells=11;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=5;CNNDL3units=1;epochs=10;sequance_length=20;training_ratio=0.1125,comparision_window_size=2;threshold_max_multipler=2;training_ratio=0.0421905560212;,1,2788,4032,0.691,
art_daily_nojump.csv,3545.022845,0,0,1,3629,lstmWeight=0.1;cnnWeight=1.0;lstmCells=15;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=10;CNNDL2units=5;CNNDL3units=1;epochs=10;sequance_length=30;training_ratio=0.1125,comparision_window_size=10;threshold_max_multipler=2;training_ratio=0.0421905560212;,1,2788,4032,0.691,
art_increase_spike_density.csv,451.078367,0,0,1,3629,lstmWeight=0.4;cnnWeight=0.2;lstmCells=11;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=5;CNNDL3units=1;epochs=10;sequance_length=20;training_ratio=0.1125,comparision_window_size=10;threshold_max_multipler=2;training_ratio=0.0421905560212;,1,1806,4032,0.44799999999999995,
art_load_balancer_spikes.csv,0.478366,1,0,0,3629,lstmWeight=0.6;cnnWeight=0.2;lstmCells=11;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=5;CNNDL3units=1;epochs=10;sequance_length=20;training_ratio=0.1125,comparision_window_size=10;threshold_max_multipler=2;training_ratio=0.0421905560212;,1,2735,4032,0.6779999999999999,
ec2_cpu_utilization_24ae8d.csvnan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
ec2_cpu_utilization_53ea38.csv,0.090535,0,0,2,3630,lstmWeight=0.5;cnnWeight=0.5;lstmCells=6;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=10;CNNDL3units=1;epochs=10;sequance_length=40;training_ratio=0.1125,comparision_window_size=25;threshold_max_multipler=2;training_ratio=0.0421905560212;,2,1397,4032,0.34600000000000003,
ec2_cpu_utilization_5f5533.csv,88.641599,0,0,2,3630,lstmWeight=0.4;cnnWeight=0.6;lstmCells=5;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=10;CNNDL2units=5;CNNDL3units=1;epochs=10;sequance_length=40;training_ratio=0.1125,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0421905560212;,2,1172,4032,0.29100000000000004,
ec2_cpu_utilization_77c1ca.csv,1176.175935,0,0,1,3629,lstmWeight=0.7;cnnWeight=0.3;lstmCells=5;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=30;CNNDL2units=20;CNNDL3units=1;epochs=10;sequance_length=40;training_ratio=0.1125,comparision_window_size=25;threshold_max_multipler=2;training_ratio=0.0421905560212;,1,1766,4032,0.43799999999999994,
ec2_cpu_utilization_825cc2.csv,219.952835,1,30,0,3659,lstmWeight=0.2;cnnWeight=0.8;lstmCells=8;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=5;CNNDL3units=1;epochs=10;sequance_length=60;training_ratio=0.1125,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0421905560212;,1,1527,4032,0.379,
ec2_cpu_utilization_ac20cd.csv,525.995974,0,0,1,3629,lstmWeight=0.2;cnnWeight=0.8;lstmCells=8;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=5;CNNDL3units=1;epochs=10;sequance_length=60;training_ratio=0.1125,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0421905560212;,1,3375,4032,0.8370000000000001,
ec2_cpu_utilization_c6585a.csv,0.286585,0,0,0,4032,lstmWeight=0.6;cnnWeight=0.4;lstmCells=10;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=5;CNNDL3units=1;epochs=10;sequance_length=60;training_ratio=0.1125,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0421905560212;,0,4032,4032,1.0,
ec2_cpu_utilization_fe7f93.csv,111.051539,2,142,1,3485,lstmWeight=0.5;cnnWeight=0.1;lstmCells=10;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=5;CNNDL3units=1;epochs=10;sequance_length=20;training_ratio=0.1125,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0421905560212;,3,699,4032,0.17300000000000001,
ec2_disk_write_bytes_1ef3de.csv,1867368371190180.8,1,4,0,4253,lstmWeight=0.6;cnnWeight=0.4;lstmCells=10;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=5;CNNDL3units=1;epochs=10;sequance_length=40;training_ratio=0.1125,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0421629347308;,1,2400,4730,0.507,
ec2_disk_write_bytes_c0d644.csv,6481962442078322.0,0,0,3,3627,lstmWeight=0.02;cnnWeight=0.01;lstmCells=15;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=5;CNNDL3units=1;epochs=10;sequance_length=30;training_ratio=0.1125,comparision_window_size=2;threshold_max_multipler=2;training_ratio=0.0421905560212;,3,1795,4032,0.445,
ec2_network_in_257a54.csv,23860757306688.83,1,0,0,3629,lstmWeight=0.02;cnnWeight=0.08;lstmCells=1;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=10;CNNDL2units=5;CNNDL3units=1;epochs=10;sequance_length=20;training_ratio=0.1125,comparision_window_size=3;threshold_max_multipler=2;training_ratio=0.0421905560212;,1,1438,4032,0.35700000000000004,
ec2_network_in_5abac7.csv,676949448800.1104,0,0,2,4256,lstmWeight=0.1;cnnWeight=0.9;lstmCells=5;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=5;CNNDL3units=1;epochs=10;sequance_length=40;training_ratio=0.1125,comparision_window_size=3;threshold_max_multipler=2;training_ratio=0.0421629347308;,2,2491,4730,0.527,
